Fetching data for NSE:DIXON-EQ from Dec 11, 2025 to Jan 31, 2026...
Fetching 2025-12-11 to 2025-12-31...
  Fetched 1750 candles.
Fetching 2026-01-01 to 2026-01-31...
  Fetched 2500 candles.
Total Fetched Candles: 4250

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
119   | 2026-01-05 10:57:00  | ENTER SHORT     | 12185.00   | 0.00       | Reversal Entry (Close 12185 < VWAP 12197.61)
119   | 2026-01-05 12:21:00  | EXIT (SL)       | 12194.00   | -9.00      | SL Hit (Close 12194 >= SL 12190.38)
120   | 2026-01-05 12:21:00  | ENTER LONG      | 12194.00   | 0.00       | SL Reversal Entry
120   | 2026-01-05 12:39:00  | EXIT (SL)       | 12186.00   | -8.00      | SL Hit (Close 12186 <= SL 12191.89)
121   | 2026-01-05 12:39:00  | ENTER SHORT     | 12186.00   | 0.00       | SL Reversal Entry
121   | 2026-01-05 12:42:00  | EXIT (Reversal) | 12195.00   | -9.00      | Reversed to LONG
122   | 2026-01-05 12:42:00  | ENTER LONG      | 12195.00   | 0.00       | Reversal Entry (Close 12195 > VWAP 12191.88)
122   | 2026-01-05 13:09:00  | EXIT (SL)       | 12192.00   | -3.00      | SL Hit (Close 12192 <= SL 12192.96)
123   | 2026-01-05 13:09:00  | ENTER SHORT     | 12192.00   | 0.00       | SL Reversal Entry
123   | 2026-01-05 15:00:00  | EXIT (Square Off) | 12053.00   | 139.00     | Auto Square Off at 15:00:00
124   | 2026-01-06 09:15:00  | ENTER LONG      | 12010.00   | 0.00       | Fresh Entry (Close 12010 > VWAP 12007.00)
124   | 2026-01-06 09:21:00  | EXIT (Reversal) | 11987.00   | -23.00     | Reversed to SHORT
125   | 2026-01-06 09:21:00  | ENTER SHORT     | 11987.00   | 0.00       | Reversal Entry (Close 11987 < VWAP 12007.14)
125   | 2026-01-06 09:33:00  | EXIT (Reversal) | 12012.00   | -25.00     | Reversed to LONG
126   | 2026-01-06 09:33:00  | ENTER LONG      | 12012.00   | 0.00       | Reversal Entry (Close 12012 > VWAP 12000.76)
126   | 2026-01-06 09:36:00  | EXIT (Reversal) | 11985.00   | -27.00     | Reversed to SHORT
127   | 2026-01-06 09:36:00  | ENTER SHORT     | 11985.00   | 0.00       | Reversal Entry (Close 11985 < VWAP 12000.28)
127   | 2026-01-06 09:51:00  | EXIT (Reversal) | 12000.00   | -15.00     | Reversed to LONG
128   | 2026-01-06 09:51:00  | ENTER LONG      | 12000.00   | 0.00       | Reversal Entry (Close 12000 > VWAP 11996.10)
128   | 2026-01-06 10:09:00  | EXIT (SL)       | 11982.00   | -18.00     | SL Hit (Close 11982 <= SL 12002.54)
129   | 2026-01-06 10:09:00  | ENTER SHORT     | 11982.00   | 0.00       | SL Reversal Entry
129   | 2026-01-06 15:00:00  | EXIT (Square Off) | 11768.00   | 214.00     | Auto Square Off at 15:00:00
130   | 2026-01-07 09:15:00  | ENTER LONG      | 11585.00   | 0.00       | Fresh Entry (Close 11585 > VWAP 11573.67)
130   | 2026-01-07 09:21:00  | EXIT (Reversal) | 11547.00   | -38.00     | Reversed to SHORT
131   | 2026-01-07 09:21:00  | ENTER SHORT     | 11547.00   | 0.00       | Reversal Entry (Close 11547 < VWAP 11570.70)
131   | 2026-01-07 09:27:00  | EXIT (Reversal) | 11595.00   | -48.00     | Reversed to LONG
132   | 2026-01-07 09:27:00  | ENTER LONG      | 11595.00   | 0.00       | Reversal Entry (Close 11595 > VWAP 11567.57)
132   | 2026-01-07 12:00:00  | EXIT (SL)       | 11753.00   | 158.00     | SL Hit (Close 11753 <= SL 11768.28)
133   | 2026-01-07 12:00:00  | ENTER SHORT     | 11753.00   | 0.00       | SL Reversal Entry
133   | 2026-01-07 14:48:00  | EXIT (SL)       | 11760.00   | -7.00      | SL Hit (Close 11760 >= SL 11757.73)
