Fetching data for NSE:DIXON-EQ from 2026-01-01 to 2026-01-31...
Fetched 2500 candles.

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
56    | 2026-01-08 11:51:00  | EXIT (SL)       | 11825.00   | -22.00     | SL Hit (Close 11825 >= SL 11820.00)
57    | 2026-01-08 11:51:00  | ENTER LONG      | 11825.00   | 0.00       | SL Reversal Entry
57    | 2026-01-08 11:54:00  | EXIT (SL)       | 11780.00   | -45.00     | SL Hit (Close 11780 <= SL 11793.00)
58    | 2026-01-08 11:54:00  | ENTER SHORT     | 11780.00   | 0.00       | SL Reversal Entry
58    | 2026-01-08 12:06:00  | EXIT (Reversal) | 11817.00   | -37.00     | Reversed to LONG
59    | 2026-01-08 12:06:00  | ENTER LONG      | 11817.00   | 0.00       | Reversal Entry (Close 11817 > VWAP 11802.95)
59    | 2026-01-08 15:00:00  | EXIT (Square Off) | 11974.00   | 157.00     | Auto Square Off at 15:00:00
60    | 2026-01-09 09:15:00  | ENTER LONG      | 11970.00   | 0.00       | Fresh Entry (Close 11970 > VWAP 11932.33)
60    | 2026-01-09 09:18:00  | EXIT (Reversal) | 11907.00   | -63.00     | Reversed to SHORT
61    | 2026-01-09 09:18:00  | ENTER SHORT     | 11907.00   | 0.00       | Reversal Entry (Close 11907 < VWAP 11930.79)
61    | 2026-01-09 09:45:00  | EXIT (SL)       | 11872.00   | 35.00      | SL Hit (Close 11872 >= SL 11860.63)
62    | 2026-01-09 09:45:00  | ENTER LONG      | 11872.00   | 0.00       | SL Reversal Entry
62    | 2026-01-09 11:15:00  | EXIT (SL)       | 11907.00   | 35.00      | SL Hit (Close 11907 <= SL 11918.21)
63    | 2026-01-09 11:15:00  | ENTER SHORT     | 11907.00   | 0.00       | SL Reversal Entry
63    | 2026-01-09 11:21:00  | EXIT (SL)       | 11950.00   | -43.00     | SL Hit (Close 11950 >= SL 11932.00)
64    | 2026-01-09 11:21:00  | ENTER LONG      | 11950.00   | 0.00       | SL Reversal Entry
64    | 2026-01-09 11:51:00  | EXIT (SL)       | 11922.00   | -28.00     | SL Hit (Close 11922 <= SL 11922.26)
65    | 2026-01-09 11:51:00  | ENTER SHORT     | 11922.00   | 0.00       | SL Reversal Entry
65    | 2026-01-09 11:54:00  | EXIT (Reversal) | 11925.00   | -3.00      | Reversed to LONG
66    | 2026-01-09 11:54:00  | ENTER LONG      | 11925.00   | 0.00       | Reversal Entry (Close 11925 > VWAP 11922.30)
66    | 2026-01-09 12:21:00  | EXIT (SL)       | 11918.00   | -7.00      | SL Hit (Close 11918 <= SL 11922.69)
67    | 2026-01-09 12:21:00  | ENTER SHORT     | 11918.00   | 0.00       | SL Reversal Entry
67    | 2026-01-09 12:33:00  | EXIT (Reversal) | 11924.00   | -6.00      | Reversed to LONG
68    | 2026-01-09 12:33:00  | ENTER LONG      | 11924.00   | 0.00       | Reversal Entry (Close 11924 > VWAP 11921.72)
68    | 2026-01-09 12:39:00  | EXIT (SL)       | 11912.00   | -12.00     | SL Hit (Close 11912 <= SL 11915.00)
69    | 2026-01-09 12:39:00  | ENTER SHORT     | 11912.00   | 0.00       | SL Reversal Entry
69    | 2026-01-09 12:51:00  | EXIT (Reversal) | 11924.00   | -12.00     | Reversed to LONG
70    | 2026-01-09 12:51:00  | ENTER LONG      | 11924.00   | 0.00       | Reversal Entry (Close 11924 > VWAP 11921.53)
70    | 2026-01-09 12:54:00  | EXIT (Reversal) | 11921.00   | -3.00      | Reversed to SHORT
71    | 2026-01-09 12:54:00  | ENTER SHORT     | 11921.00   | 0.00       | Reversal Entry (Close 11921 < VWAP 11921.53)
71    | 2026-01-09 12:57:00  | EXIT (Reversal) | 11924.00   | -3.00      | Reversed to LONG
72    | 2026-01-09 12:57:00  | ENTER LONG      | 11924.00   | 0.00       | Reversal Entry (Close 11924 > VWAP 11921.53)
72    | 2026-01-09 13:00:00  | EXIT (Reversal) | 11910.00   | -14.00     | Reversed to SHORT
