Fetching data for NSE:DIXON-EQ from Mar 2025 to Dec 2025...
Total Fetched Candles: 25646

Running Backtest with Risk:Reward 1:8...

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
24    | 2025-03-21 09:24:00  | EXIT (SL)       | 13842.10   | -140.80    | SL Hit (Low 13834.45 <= SL 13842.10)
25    | 2025-03-21 09:27:00  | ENTER LONG      | 13966.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 46.85)
25    | 2025-03-21 15:00:00  | EXIT (Square Off) | 14060.45   | 94.45      | Auto Square Off at 15:00
26    | 2025-03-24 09:36:00  | ENTER SHORT     | 14204.55   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 65.45)
26    | 2025-03-24 10:00:00  | EXIT (SL)       | 14270.00   | -65.45     | SL Hit (High 14280 >= SL 14270.00)
27    | 2025-03-25 09:15:00  | ENTER SHORT     | 14580.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 160.00)
27    | 2025-03-25 15:00:00  | EXIT (Square Off) | 13758.50   | 821.50     | Auto Square Off at 15:00
28    | 2025-03-26 09:15:00  | ENTER LONG      | 13591.15   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 120.10)
28    | 2025-03-26 09:42:00  | EXIT (SL)       | 13471.05   | -120.10    | SL Hit (Low 13462 <= SL 13471.05)
29    | 2025-03-26 09:54:00  | ENTER LONG      | 13569.45   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 57.85)
29    | 2025-03-26 10:54:00  | EXIT (SL)       | 13511.60   | -57.85     | SL Hit (Low 13509.8 <= SL 13511.60)
30    | 2025-03-27 09:15:00  | ENTER LONG      | 13399.95   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 109.95)
30    | 2025-03-27 15:00:00  | EXIT (Square Off) | 13449.15   | 49.20      | Auto Square Off at 15:00
31    | 2025-03-28 09:15:00  | ENTER LONG      | 13600.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 125.95)
31    | 2025-03-28 11:06:00  | EXIT (SL)       | 13474.05   | -125.95    | SL Hit (Low 13430.1 <= SL 13474.05)
32    | 2025-03-28 14:51:00  | ENTER LONG      | 13342.05   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 122.00)
32    | 2025-03-28 15:00:00  | EXIT (Square Off) | 13252.00   | -90.05     | Auto Square Off at 15:00
33    | 2025-04-01 09:15:00  | ENTER LONG      | 13192.95   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 87.90)
33    | 2025-04-01 11:09:00  | EXIT (SL)       | 13105.05   | -87.90     | SL Hit (Low 13101 <= SL 13105.05)
34    | 2025-04-02 09:15:00  | ENTER LONG      | 13066.35   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 132.40)
34    | 2025-04-02 09:21:00  | EXIT (SL)       | 12933.95   | -132.40    | SL Hit (Low 12899.75 <= SL 12933.95)
35    | 2025-04-02 09:24:00  | ENTER LONG      | 13018.70   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 68.65)
35    | 2025-04-02 15:00:00  | EXIT (Square Off) | 13460.00   | 441.30     | Auto Square Off at 15:00
36    | 2025-04-03 09:18:00  | ENTER SHORT     | 13352.55   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 197.45)
36    | 2025-04-03 15:00:00  | EXIT (Square Off) | 13499.20   | -146.65    | Auto Square Off at 15:00
37    | 2025-04-04 09:18:00  | ENTER SHORT     | 13360.05   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 112.70)
37    | 2025-04-04 15:00:00  | EXIT (Square Off) | 13112.00   | 248.05     | Auto Square Off at 15:00
38    | 2025-04-07 09:15:00  | ENTER LONG      | 12607.35   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 405.15)
38    | 2025-04-07 15:00:00  | EXIT (Square Off) | 12490.00   | -117.35    | Auto Square Off at 15:00
39    | 2025-04-08 09:15:00  | ENTER SHORT     | 13005.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 234.95)
