Fetching data for NSE:DIXON-EQ from Oct 1, 2025 to Nov 30, 2025...
Fetching 2025-10-01 to 2025-10-31...
  Fetched 2521 candles.
Fetching 2025-11-01 to 2025-11-30...
  Fetched 2375 candles.
Total Fetched Candles: 4896

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
146   | 2025-10-30 10:39:00  | EXIT (SL)       | 15529.00   | -6.00      | SL Hit (Close 15529 >= SL 15523.46)
147   | 2025-10-30 10:39:00  | ENTER LONG      | 15529.00   | 0.00       | SL Reversal Entry
147   | 2025-10-30 10:45:00  | EXIT (Reversal) | 15521.00   | -8.00      | Reversed to SHORT
148   | 2025-10-30 10:45:00  | ENTER SHORT     | 15521.00   | 0.00       | Reversal Entry (Close 15521 < VWAP 15523.61)
148   | 2025-10-30 10:48:00  | EXIT (Reversal) | 15528.00   | -7.00      | Reversed to LONG
149   | 2025-10-30 10:48:00  | ENTER LONG      | 15528.00   | 0.00       | Reversal Entry (Close 15528 > VWAP 15523.59)
149   | 2025-10-30 15:00:00  | EXIT (Square Off) | 15622.00   | 94.00      | Auto Square Off at 15:00:00
150   | 2025-10-31 09:15:00  | ENTER LONG      | 15681.00   | 0.00       | Fresh Entry (Close 15681 > VWAP 15671.67)
150   | 2025-10-31 09:24:00  | EXIT (Reversal) | 15686.00   | 5.00       | Reversed to SHORT
151   | 2025-10-31 09:24:00  | ENTER SHORT     | 15686.00   | 0.00       | Reversal Entry (Close 15686 < VWAP 15686.15)
151   | 2025-10-31 09:27:00  | EXIT (Reversal) | 15686.00   | 0.00       | Reversed to LONG
152   | 2025-10-31 09:27:00  | ENTER LONG      | 15686.00   | 0.00       | Reversal Entry (Close 15686 > VWAP 15685.88)
152   | 2025-10-31 09:51:00  | EXIT (SL)       | 15670.00   | -16.00     | SL Hit (Close 15670 <= SL 15697.87)
153   | 2025-10-31 09:51:00  | ENTER SHORT     | 15670.00   | 0.00       | SL Reversal Entry
153   | 2025-10-31 10:00:00  | EXIT (SL)       | 15715.00   | -45.00     | SL Hit (Close 15715 >= SL 15701.00)
154   | 2025-10-31 10:00:00  | ENTER LONG      | 15715.00   | 0.00       | SL Reversal Entry
154   | 2025-10-31 10:06:00  | EXIT (Reversal) | 15678.00   | -37.00     | Reversed to SHORT
155   | 2025-10-31 10:06:00  | ENTER SHORT     | 15678.00   | 0.00       | Reversal Entry (Close 15678 < VWAP 15696.13)
